year,period,date,sha_code,org_code,org_name,total_available,general_acute_available,learning_disabilities_available,maternity_available,mental_illness_available,total_occupied,general_acute_occupied,learning_disabilities_occupied,maternity_occupied,mental_illness_occupied
2010,June,6/1/10,Q30,5KG,South Tyneside PCT,7,0,7,0,0,3,0,3,0,0
2010,June,6/1/10,Q30,5KL,Sunderland Teaching PCT,12,12,0,0,0,10,10,0,0,0
2010,June,6/1/10,Q30,5KM,Middlesbrough PCT,44,44,0,0,0,36,36,0,0,0
2010,June,6/1/10,Q30,5ND,County Durham PCT,80,80,0,0,0,61,61,0,0,0
2010,June,6/1/10,Q30,5QR,Redcar And Cleveland PCT,93,93,0,0,0,74,74,0,0,0
2010,June,6/1/10,Q30,RE9,South Tyneside NHS Foundation Trust,365,332,0,33,0,342,332,0,10,0
2010,June,6/1/10,Q30,RLN,City Hospitals Sunderland NHS Foundation Trust,893,869,0,24,0,720,699,0,22,0
2010,June,6/1/10,Q30,RR7,Gateshead Health NHS Foundation Trust,605,533,0,24,48,482,437,0,12,33
2010,June,6/1/10,Q30,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,1583,1507,0,76,0,1308,1265,0,42,0
2010,June,6/1/10,Q30,RTF,Northumbria Healthcare NHS Foundation Trust,1213,1071,0,67,75,917,835,0,28,54
2010,June,6/1/10,Q30,RTR,South Tees Hospitals NHS Foundation Trust,1035,975,0,60,0,896,871,0,25,0
2010,June,6/1/10,Q30,RVW,North Tees And Hartlepool NHS Foundation Trust,703,649,0,54,0,537,515,0,22,0
2010,June,6/1/10,Q30,RX3,"Tees, Esk And Wear Valleys NHS Foundation Trust",864,0,168,0,696,734,0,133,0,601
2010,June,6/1/10,Q30,RX4,"Northumberland, Tyne and Wear NHS Foundation Trust",1317,55,278,0,984,1064,42,195,0,826
2010,June,6/1/10,Q30,RXP,County Durham And Darlington NHS Foundation Trust,1019,951,0,68,0,793,752,0,41,0
2010,June,6/1/10,Q31,5JX,Bury PCT,12,12,0,0,0,12,12,0,0,0
2010,June,6/1/10,Q31,5NL,Liverpool PCT,76,76,0,0,0,64,64,0,0,0
2010,June,6/1/10,Q31,5NN,Western Cheshire PCT,68,68,0,0,0,66,66,0,0,0
2010,June,6/1/10,Q31,RBL,Wirral University Teaching Hospital NHS Foundation Trust,813,785,0,28,0,678,661,0,16,0
2010,June,6/1/10,Q31,RBN,St Helens And Knowsley Hospitals NHS Trust,716,678,0,38,0,626,597,0,29,0
2010,June,6/1/10,Q31,RBQ,Liverpool Heart and Chest NHS Foundation Trust,148,148,0,0,0,118,118,0,0,0
2010,June,6/1/10,Q31,RBS,Alder Hey Children's NHS Foundation Trust,218,208,0,0,10,166,162,0,0,4
2010,June,6/1/10,Q31,RBT,Mid Cheshire Hospitals NHS Foundation Trust,610,582,0,28,0,503,489,0,14,0
2010,June,6/1/10,Q31,RBV,The Christie NHS Foundation Trust,190,190,0,0,0,135,135,0,0,0
2010,June,6/1/10,Q31,REM,Aintree University Hospitals NHS Foundation Trust,788,788,0,0,0,737,737,0,0,0
2010,June,6/1/10,Q31,REN,Clatterbridge Centre For Oncology NHS Foundation Trust,84,84,0,0,0,54,54,0,0,0
2010,June,6/1/10,Q31,REP,Liverpool Women's NHS Foundation Trust,182,47,0,135,0,135,30,0,106,0
2010,June,6/1/10,Q31,RET,The Walton Centre NHS Foundation Trust,134,134,0,0,0,110,110,0,0,0
2010,June,6/1/10,Q31,RJN,East Cheshire NHS Trust,392,365,0,27,0,341,327,0,14,0
2010,June,6/1/10,Q31,RJR,Countess Of Chester Hospital NHS Foundation Trust,565,497,0,68,0,443,414,0,29,0
2010,June,6/1/10,Q31,RJX,Calderstones Partnership NHS Foundation Trust,228,0,228,0,0,217,0,217,0,0
2010,June,6/1/10,Q31,RM2,University Hospital Of South Manchester NHS Foundation Trust,856,811,0,45,0,726,705,0,21,0
2010,June,6/1/10,Q31,RM3,Salford Royal NHS Foundation Trust,767,728,0,39,0,650,635,0,15,0
2010,June,6/1/10,Q31,RM4,Trafford Healthcare NHS Trust,250,250,0,0,0,231,231,0,0,0
2010,June,6/1/10,Q31,RMC,Royal Bolton Hospital NHS Foundation Trust,653,577,0,76,0,554,488,0,66,0
2010,June,6/1/10,Q31,RMP,Tameside Hospital NHS Foundation Trust,508,460,0,47,0,434,413,0,22,0
2010,June,6/1/10,Q31,RNL,North Cumbria University Hospitals NHS Trust,657,618,0,39,0,506,486,0,19,0
2010,June,6/1/10,Q31,RQ6,Royal Liverpool And Broadgreen University Hospitals NHS Trust,892,892,0,0,0,768,768,0,0,0
2010,June,6/1/10,Q31,RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",582,552,0,30,0,484,463,0,21,0
2010,June,6/1/10,Q31,RT2,Pennine Care NHS Foundation Trust,507,0,0,0,507,448,0,0,0,448
2010,June,6/1/10,Q31,RTV,5 Boroughs Partnership NHS Foundation Trust,339,0,35,0,304,316,0,32,0,284
2010,June,6/1/10,Q31,RTX,University Hospitals Of Morecambe Bay NHS Trust,795,740,0,55,0,662,639,0,23,0
2010,June,6/1/10,Q31,RVY,Southport And Ormskirk Hospital NHS Trust,502,456,0,46,0,417,394,0,23,0
2010,June,6/1/10,Q31,RW3,Central Manchester University Hospitals NHS Foundation Trust,1162,1086,0,66,10,973,909,0,57,7
2010,June,6/1/10,Q31,RW4,Mersey Care NHS Trust,411,0,14,0,397,358,0,14,0,344
2010,June,6/1/10,Q31,RW5,Lancashire Care NHS Foundation Trust,748,0,0,0,748,624,0,0,0,624
2010,June,6/1/10,Q31,RW6,Pennine Acute Hospitals NHS Trust,1827,1679,0,148,0,1501,1424,0,78,0
2010,June,6/1/10,Q31,RWJ,Stockport NHS Foundation Trust,818,778,0,39,0,675,655,0,20,0
2010,June,6/1/10,Q31,RWW,Warrington and Halton Hospitals NHS Foundation Trust,643,592,0,51,0,516,487,0,29,0
2010,June,6/1/10,Q31,RXA,Cheshire And Wirral Partnership NHS Foundation Trust,364,0,69,0,295,289,0,48,0,241
2010,June,6/1/10,Q31,RXL,"Blackpool, Fylde And Wyre Hospitals NHS Foundation Trust",855,824,0,31,0,725,700,0,24,0
2010,June,6/1/10,Q31,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,1010,946,0,64,0,889,851,0,38,0
2010,June,6/1/10,Q31,RXR,East Lancashire Hospitals NHS Trust,908,821,0,88,0,753,706,0,47,0
2010,June,6/1/10,Q31,RXV,Greater Manchester West Mental Health NHS Foundation Trust,626,0,0,0,626,571,0,0,0,571
2010,June,6/1/10,Q31,TAE,Manchester Mental Health And Social Care Trust,252,0,0,0,252,231,0,0,0,231
2010,June,6/1/10,Q32,5H8,Rotherham PCT,18,8,10,0,0,10,7,3,0,0
2010,June,6/1/10,Q32,5JE,Barnsley PCT,165,88,0,0,78,127,69,0,0,58
2010,June,6/1/10,Q32,5N1,Leeds PCT,45,37,0,0,8,36,31,0,0,5
2010,June,6/1/10,Q32,5N4,Sheffield PCT,30,30,0,0,0,25,25,0,0,0
2010,June,6/1/10,Q32,5N5,Doncaster PCT,76,76,0,0,0,61,61,0,0,0
2010,June,6/1/10,Q32,5NV,North Yorkshire And York PCT,545,235,11,0,299,455,191,8,0,256
2010,June,6/1/10,Q32,RAE,Bradford Teaching Hospitals NHS Foundation Trust,743,689,0,54,0,572,539,0,33,0
2010,June,6/1/10,Q32,RCB,York Hospitals NHS Foundation Trust,701,658,0,43,0,568,543,0,25,0
2010,June,6/1/10,Q32,RCC,Scarborough And North East Yorkshire Health Care NHS Trust,369,348,0,21,0,312,306,0,6,0
2010,June,6/1/10,Q32,RCD,Harrogate And District NHS Foundation Trust,332,308,0,24,0,276,262,0,14,0
2010,June,6/1/10,Q32,RCF,Airedale NHS Trust,389,365,0,24,0,333,315,0,17,0
2010,June,6/1/10,Q32,RCU,Sheffield Children's NHS Foundation Trust,141,132,0,0,9,107,99,0,0,8
2010,June,6/1/10,Q32,RFF,Barnsley Hospital NHS Foundation Trust,484,427,0,57,0,402,369,0,33,0
2010,June,6/1/10,Q32,RGD,Leeds Partnerships NHS Foundation Trust,403,0,29,0,373,346,0,23,0,323
2010,June,6/1/10,Q32,RJL,Northern Lincolnshire And Goole Hospitals NHS Foundation Trust,875,804,0,71,0,593,577,0,16,0
2010,June,6/1/10,Q32,RP5,Doncaster And Bassetlaw Hospitals NHS Foundation Trust,1237,1157,0,80,0,845,812,0,33,0
2010,June,6/1/10,Q32,RR8,Leeds Teaching Hospitals NHS Trust,2136,1998,0,138,0,1769,1679,0,90,0
2010,June,6/1/10,Q32,RV9,Humber NHS Foundation Trust,235,0,16,0,219,179,0,12,0,166
2010,June,6/1/10,Q32,RWA,Hull And East Yorkshire Hospitals NHS Trust,1319,1227,0,92,0,1100,1088,0,12,0
2010,June,6/1/10,Q32,RWY,Calderdale And Huddersfield NHS Foundation Trust,904,854,0,50,0,740,707,0,33,0
2010,June,6/1/10,Q32,RXE,"Rotherham, Doncaster and South Humber Mental Health NHS Foundation Trust",325,0,34,0,291,235,0,30,0,206
2010,June,6/1/10,Q32,RXF,Mid Yorkshire Hospitals NHS Trust,1156,1105,0,51,0,944,918,0,26,0
2010,June,6/1/10,Q32,RXG,South West Yorkshire Partnership NHS Foundation Trust,445,0,43,0,402,379,0,18,0,361
2010,June,6/1/10,Q32,TAD,Bradford District Care Trust,212,0,7,0,205,188,0,6,0,181
2010,June,6/1/10,Q32,TAH,Sheffield Health and Social Care NHS Foundation Trust,266,0,7,0,259,237,0,7,0,230
2010,June,6/1/10,Q32,TAN,North East Lincolnshire Care Trust Plus,42,0,0,0,42,39,0,0,0,39
2010,June,6/1/10,Q33,5N6,Derbyshire County PCT,501,369,33,0,99,370,276,29,0,65
2010,June,6/1/10,Q33,5N8,Nottinghamshire County Teaching PCT,188,188,0,0,0,174,174,0,0,0
2010,June,6/1/10,Q33,5N9,Lincolnshire Teaching PCT,60,60,0,0,0,57,57,0,0,0
2010,June,6/1/10,Q33,5PA,Leicestershire County and Rutland PCT,314,296,0,0,18,294,281,0,0,13
2010,June,6/1/10,Q33,5PD,Northamptonshire Teaching PCT,134,134,0,0,0,118,118,0,0,0
2010,June,6/1/10,Q33,RFS,Chesterfield Royal Hospital NHS Foundation Trust,559,518,0,41,0,474,454,0,20,0
2010,June,6/1/10,Q33,RHA,Nottinghamshire Healthcare NHS Trust,1148,0,119,0,1029,1015,0,103,0,912
2010,June,6/1/10,Q33,RK5,Sherwood Forest Hospitals NHS Foundation Trust,667,618,0,49,0,601,559,0,43,0
2010,June,6/1/10,Q33,RNQ,Kettering General Hospital NHS Foundation Trust,570,514,0,56,0,494,463,0,31,0
2010,June,6/1/10,Q33,RNS,Northampton General Hospital NHS Trust,662,611,4,47,0,589,552,3,34,0
2010,June,6/1/10,Q33,RP1,Northamptonshire Healthcare NHS Foundation Trust,339,0,112,0,227,290,0,91,0,199
2010,June,6/1/10,Q33,RP7,Lincolnshire Partnership NHS Foundation Trust,252,0,16,0,236,238,0,12,0,226
2010,June,6/1/10,Q33,RT5,Leicestershire Partnership NHS Trust,515,0,98,0,417,465,0,79,0,386
2010,June,6/1/10,Q33,RTG,Derby Hospitals NHS Foundation Trust,1004,942,0,62,0,836,784,0,52,0
2010,June,6/1/10,Q33,RWD,United Lincolnshire Hospitals NHS Trust,1274,1163,0,111,0,1149,1087,0,62,0
2010,June,6/1/10,Q33,RWE,University Hospitals Of Leicester NHS Trust,1687,1558,0,129,0,1419,1339,0,80,0
